"filename", "language", "Properties", "JSON", "JavaScript", "SCSS", "XML", "TypeScript", "Groovy", "HTML", "comment", "blank", "total"
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\.editorconfig", "Properties", 12, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\app.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 20, 0, 8, 8, 36
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\google-services.json", "JSON", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 32
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 40, 0, 0, 12, 52
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\settings.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 17, 0, 0, 0, 0, 6, 23
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\res\drawable-nodpi\splash_screen.xml", "XML", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\res\values-v21\colors.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\res\values-v21\styles.xml", "XML", 0, 0, 0, 0, 18, 0, 0, 0, 3, 4, 25
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\Android\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 28, 0, 0, 0, 3, 10, 41
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 122
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\Assets.xcassets\Contents.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\Assets.xcassets\LaunchImage.launchimage\Contents.json", "JSON", 0, 212, 0, 0, 0, 0, 0, 0, 0, 0, 212
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\Assets.xcassets\LaunchScreen.AspectFill.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\Assets.xcassets\LaunchScreen.Center.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 23
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\App_Resources\iOS\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 52, 0, 0, 0, 1, 1, 54
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\angular.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\firebase.nativescript.json", "JSON", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\nsconfig.json", "JSON", 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\package-lock.json", "JSON", 0, 7470, 0, 0, 0, 0, 0, 0, 0, 1, 7471
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\_app-common.scss", "SCSS", 0, 0, 0, 76, 0, 0, 0, 0, 6, 4, 86
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\_app-variables.scss", "SCSS", 0, 0, 0, 46, 0, 0, 0, 0, 13, 17, 76
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app.android.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app.ios.scss", "SCSS", 0, 0, 0, 7, 0, 0, 0, 0, 4, 3, 14
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\app-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\app.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 6, 8, 52
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\app.component.ts", "TypeScript", 0, 0, 0, 0, 0, 81, 0, 0, 5, 14, 100
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\app.module.ts", "TypeScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\auth-guard.service.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 5, 20
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\character.service.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 13, 69
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterDetails\characterDetails.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 5, 24
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterDetails\characterDetails.component.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterDetails\characterDetails.component.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 5, 30
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEdit\characterEdit.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 22, 0, 2, 24
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEdit\characterEdit.component.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEdit\characterEdit.component.ts", "TypeScript", 0, 0, 0, 0, 0, 46, 0, 0, 0, 8, 54
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEntry\characterEntry.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEntry\characterEntry.component.scss", "SCSS", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterEntry\characterEntry.component.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 2, 22
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement.component.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\characterManagement\characterManagement.module.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 3, 32
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom-routing.module.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.component.ts", "TypeScript", 0, 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\chatRoom\chatRoom.module.ts", "TypeScript", 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 13
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.scss", "SCSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.component.ts", "TypeScript", 0, 0, 0, 0, 0, 56, 0, 0, 0, 12, 68
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.module.ts", "TypeScript", 0, 0, 0, 0, 0, 26, 0, 0, 0, 3, 29
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\chat.service.ts", "TypeScript", 0, 0, 0, 0, 0, 30, 0, 0, 0, 9, 39
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 6
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.scss", "SCSS", 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\components\chat\message\message.component.ts", "TypeScript", 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 31, 0, 5, 36
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.scss", "SCSS", 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conDetails\conDetails.component.ts", "TypeScript", 0, 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\Lucius Spiro\KalethaApp\KalethaApp\src\app\conManagement\conEdit\conEdit.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 2, 27
